,Description,Quantity,Unit_Price,Country,Invoice_Date,Number_Of_Visit,Customer_Gender,Customer_Age,Rating_Of_Product
249,Christmas Tree Star Decoration,3.0,0.43,United Kingdom,12/01/2010 14:32,105.0,Female,30.0,1.0
250,Bunny Decoration Magic Garden,2.0,0.85,United Kingdom,01/16/2011 14:36,112.0,Female,32.0,1.0
251,Jam Jar With Pink Lid,12.0,0.85,Germany,08/01/2011 10:26,106.0,Female,36.0,1.0
252,Set Of 9 Black Skull Balloons,10.0,0.85,United Kingdom,01/04/2011 12:58,85.0,Female,35.0,2.0
253,Antique Silver T-Light Glass,18.0,2.46,United Kingdom,09/23/2011 17:04,112.0,Female,33.0,2.0
254,Ivory Wicker Heart Small,36.0,2.08,United Kingdom,11/16/2011 13:25,103.0,Female,33.0,2.0
255,Hot Baths Metal Sign,1.0,4.13,United Kingdom,06/23/2011 15:35,101.0,Female,34.0,3.0
256,Dinosaur Keyrings Assorted,36.0,0.21,United Kingdom,08/09/2011 10:16,85.0,Female,39.0,2.0
257,Magic Drawing Slate Leap Frog,8.0,0.42,United Kingdom,09/13/2011 12:18,99.0,Female,44.0,1.0
258,Cacti T-Light Candles,16.0,0.42,United Kingdom,11/28/2011 11:18,104.0,Female,29.0,1.0
259,Set Of 72 Pink Heart Paper Doilies,8.0,1.45,United Kingdom,05/25/2011 11:26,99.0,Female,46.0,2.0
260,Felt Farm Animal Rabbit,12.0,1.25,United Kingdom,03/15/2011 09:13,101.0,Female,36.0,1.0
261,Wood Stamp Set Flowers,1.0,0.83,United Kingdom,11/14/2011 13:12,100.0,Female,36.0,1.0
262,Jumbo Storage Bag Suki,10.0,2.08,United Kingdom,08/30/2011 10:20,93.0,Female,40.0,2.0
263,Clothes Pegs Retrospot Pack 24,2.0,1.65,United Kingdom,09/29/2011 15:57,109.0,Female,31.0,2.0
264,White Sage Incense,1.0,0.42,United Kingdom,08/30/2011 12:49,108.0,Female,34.0,1.0
265,Travel Card Wallet Vintage Rose,2.0,0.42,United Kingdom,03/06/2011 11:28,108.0,Female,48.0,1.0
266,Ocean Scent Candle In Jewelled Box,3.0,4.25,United Kingdom,08/17/2011 14:22,107.0,Female,34.0,3.0
267,Strawberry Charlotte Bag,1.0,1.63,United Kingdom,10/24/2011 17:06,103.0,Female,29.0,2.0
268,Roll Wrap Vintage Spot,3.0,1.25,Eire,09/30/2011 10:20,102.0,Female,32.0,1.0
269,Jam Making Set With Jars,6.0,4.25,United Kingdom,02/09/2011 10:25,104.0,Female,37.0,3.0
270,Lunch Bag Red Retrospot,3.0,1.65,United Kingdom,03/10/2011 16:16,101.0,Female,30.0,2.0
271,Gaolers Keys Decorative Garden,3.0,3.75,United Kingdom,10/20/2011 10:57,101.0,Female,34.0,3.0
272,Pack Of 20 Napkins Pantry Design,12.0,0.85,United Kingdom,04/20/2011 13:36,113.0,Female,36.0,1.0
274,Plasters In Tin Woodland Animals,24.0,1.65,United Kingdom,05/23/2011 11:07,83.0,Female,38.0,2.0
275,Skull Shoulder Bag,3.0,1.63,United Kingdom,11/18/2011 15:59,79.0,Female,30.0,2.0
276,No Singing Metal Sign,12.0,2.1,United Kingdom,08/25/2011 10:32,77.0,Female,36.0,2.0
277,Ceramic Cake Design Spotted Mug,48.0,1.25,Portugal,01/18/2011 09:50,94.0,Female,36.0,1.0
278,Jumbo Bag Strawberry,1.0,4.13,United Kingdom,08/30/2011 10:33,103.0,Female,28.0,3.0
279,Home Building Block Word,1.0,5.95,United Kingdom,01/25/2011 13:38,90.0,Female,38.0,4.0
280,Bathroom Metal Sign,1.0,0.55,United Kingdom,04/03/2011 15:07,84.0,Female,40.0,1.0
281,Photo Clip Line,3.0,1.25,United Kingdom,02/22/2011 11:41,99.0,Female,36.0,1.0
282,Pack Of 20 Napkins Pantry Design,3.0,0.85,United Kingdom,01/11/2011 12:55,97.0,Female,27.0,1.0
283,Pack Of 12 Pink Paisley Tissues,12.0,0.29,United Kingdom,08/25/2011 12:06,104.0,Female,41.0,1.0
284,Card Holder Gingham Heart,6.0,2.89,United Kingdom,09/15/2011 09:34,101.0,Female,38.0,2.0
285,Scottie Dog Hot Water Bottle,28.0,12.95,United Kingdom,11/14/2011 17:55,101.0,Female,44.0,2.0
286,Plasters In Tin Vintage Paisley,48.0,1.65,France,01/31/2011 09:57,97.0,Female,28.0,2.0
287,Charlie And Lola Figures Tins,3.0,1.95,United Kingdom,07/04/2011 12:25,122.0,Female,36.0,2.0
288,72 Sweetheart Fairy Cake Cases,2.0,0.55,United Kingdom,04/05/2011 12:50,110.0,Female,34.0,1.0
289,Ivory Paper Cup Cake Cases,12.0,2.08,United Kingdom,02/04/2011 13:39,88.0,Female,33.0,1.0
290,Coffee Mug Pears  Design,36.0,2.1,United Kingdom,08/09/2011 10:16,93.0,Female,32.0,2.0
291,Lunch Bag Suki Design,1.0,4.13,United Kingdom,09/09/2011 16:13,77.0,Female,36.0,3.0
292,Wooden Skittles Garden Set,3.0,15.95,United Kingdom,04/18/2011 10:04,116.0,Female,30.0,10.0
293,Roses Regency Teacup And Saucer,6.0,2.95,United Kingdom,12/01/2011 13:33,96.0,Female,41.0,2.0
294,Set Of 4 Jam Jar Magnets,5.0,2.08,United Kingdom,07/24/2011 14:21,101.0,Female,45.0,2.0
295,Wooden Tree Christmas Scandinavian,9.0,0.83,United Kingdom,10/24/2011 17:03,115.0,Female,36.0,1.0
296,Hand Over The Chocolate   Sign,1.0,2.1,United Kingdom,10/24/2011 14:36,96.0,Female,39.0,2.0
297,Enamel Measuring Jug Cream,1.0,4.25,United Kingdom,02/20/2011 14:31,105.0,Female,30.0,3.0
298,Decorative Wicker Heart Large,48.0,1.65,United Kingdom,09/20/2011 12:18,108.0,Female,28.0,2.0
299,Bundle Of 3 School Exercise Books,1.0,1.65,United Kingdom,09/05/2011 12:20,116.0,Female,30.0,2.0
300,Home Sweet Home Mug,12.0,1.25,France,01/12/2011 15:00,82.0,Female,51.0,1.0
301,Fridge Magnets La Vie En Rose,6.0,0.85,United Kingdom,03/30/2011 12:04,88.0,Female,36.0,1.0
302,Pink Love Heart Shape Cup,20.0,0.85,United Kingdom,12/09/2010 13:24,101.0,Female,27.0,1.0
303,Swallows Greeting Card,12.0,0.42,United Kingdom,05/16/2011 16:36,81.0,Female,34.0,1.0
304,Swallows Greeting Card,12.0,0.42,United Kingdom,09/13/2011 12:13,103.0,Female,41.0,1.0
305,Woven Candy Cushion Cover,2.0,4.13,United Kingdom,06/30/2011 15:56,112.0,Female,31.0,3.0
306,Photo Frame Linen And Lace Small,3.0,2.08,United Kingdom,10/13/2011 12:30,110.0,Female,37.0,2.0
307,Set Of 60 Pantry Design Cake Cases,24.0,0.55,United Kingdom,06/09/2011 09:28,104.0,Female,49.0,1.0
308,Watering Can Blue Elephant,6.0,1.95,United Kingdom,01/31/2011 13:17,111.0,Female,44.0,2.0
309,Box Of Vintage Alphabet Blocks,1.0,20.79,United Kingdom,12/08/2011 10:53,100.0,Female,28.0,13.0
310,Rotating Silver Angels T-Light Hldr,2.0,4.96,United Kingdom,03/17/2011 18:15,100.0,Female,30.0,4.0
311,Traditional Wooden Catch Cup Game,12.0,1.25,United Kingdom,11/21/2011 14:17,118.0,Female,42.0,1.0
312,Set Of 3 Regency Cake Tins,1.0,10.79,United Kingdom,11/15/2011 16:57,102.0,Female,25.0,7.0
313,Coffee Mug Dog + Ball Design,6.0,2.55,United Kingdom,12/08/2010 12:01,105.0,Female,36.0,2.0
314,Blue Stripe Ceramic Drawer Knob,24.0,1.45,United Kingdom,09/23/2011 10:25,95.0,Female,22.0,1.0
315,Wooden Tree Christmas Scandinavian,24.0,0.29,United Kingdom,09/30/2011 10:48,95.0,Female,38.0,1.0
316,Botanical Lavender Birthday Card,6.0,0.43,United Kingdom,01/07/2011 13:55,117.0,Female,40.0,1.0
317,Toilet Metal Sign,3.0,0.55,United Kingdom,06/20/2011 12:06,92.0,Female,27.0,2.0
318,Scandinavian Reds Ribbons,72.0,1.25,Switzerland,09/22/2011 10:38,114.0,Female,33.0,2.0
319,Regency Cakestand 3 Tier,2.0,12.75,United Kingdom,06/27/2011 11:50,105.0,Female,34.0,8.0
321,Pearl Crystal Pumpkin T-Light Hldr,10.0,2.08,United Kingdom,08/10/2011 16:51,105.0,Female,36.0,2.0
322,Pink  Polkadot Plate,1.0,3.29,United Kingdom,07/08/2011 14:22,101.0,Female,29.0,3.0
323,Victorian Glass Hanging T-Light,12.0,2.46,United Kingdom,11/24/2011 09:26,101.0,Female,37.0,2.0
324,S/4 Pink Flower Candles In Bowl,12.0,1.65,United Kingdom,06/13/2011 13:32,105.0,Female,31.0,2.0
325,Vintage Snakes & Ladders,4.0,3.75,United Kingdom,11/04/2011 13:05,135.0,Female,44.0,3.0
326,Hand Warmer Scotty Dog Design,3.0,2.08,United Kingdom,09/21/2011 15:39,98.0,Female,40.0,2.0
327,Ribbon Reel Hearts Design,6.0,2.08,United Kingdom,02/08/2011 12:12,96.0,Female,34.0,2.0
328,Bread Bin Diner Style Ivory,2.0,16.95,Eire,07/28/2011 17:00,105.0,Female,41.0,11.0
329,Charlie Lola Blue Hot Water Bottle,2.0,4.21,United Kingdom,12/10/2010 14:59,96.0,Female,36.0,3.0
